source,contract_id,as_of_date,as_of_ts,snapshot_ts,observation_method,implied_probability,yes_price,no_price,volume,liquidity,open_interest,active,tradable
kalshi,GOVPARTYID-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.95,0.95,0.05,1472.0,0.0,1396.0,True,True
kalshi,GOVPARTYIL-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.905,0.905,0.095,1799.0,0.0,1035.0,True,True
kalshi,GOVPARTYIL-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.1,0.1,0.9,4762.0,0.0,4650.0,True,True
kalshi,GOVPARTYIN-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.08,0.08,0.92,612.0,0.0,334.0,True,True
kalshi,GOVPARTYIN-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.895,0.895,0.105,839.0,0.0,226.0,True,True
kalshi,GOVPARTYKS-27-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.285,0.285,0.715,3660.0,0.0,3305.0,True,True
kalshi,GOVPARTYKS-27-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.68,0.68,0.32,4405.0,0.0,2978.0,True,True
kalshi,GOVPARTYLA-27-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.1,0.1,0.9,95.0,0.0,95.0,True,True
kalshi,GOVPARTYLA-27-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.85,0.85,0.15,853.0,0.0,570.0,True,True
kalshi,GOVPARTYMA-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.9,0.9,0.1,9461.0,0.0,8162.0,True,True
kalshi,GOVPARTYMA-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.09,0.09,0.91,20609.0,0.0,19865.0,True,True
kalshi,GOVPARTYMD-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.93,0.93,0.07,2337.0,0.0,1761.0,True,True
kalshi,GOVPARTYMD-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.04,0.04,0.96,722.0,0.0,722.0,True,True
kalshi,GOVPARTYMN-26-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.91,0.91,0.09,80435.0,0.0,47513.0,True,True
kalshi,GOVPARTYMN-26-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.095,0.095,0.905,86724.0,0.0,61361.0,True,True
kalshi,GOVPARTYMO-28-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.065,0.065,0.935,267.0,0.0,78.0,True,True
kalshi,GOVPARTYMO-28-R,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.915,0.915,0.085,3681.0,0.0,1683.0,True,True
kalshi,GOVPARTYMS-27-D,2026-02-26,2026-02-26T08:50:31.901806Z,2026-03-14T20:26:01.954927+00:00,daily_close,0.065,0.065,0.935,815.0,0.0,782.0,True,True
